Unnamed: 0,transaction_id,description,trnref,dob_new,price_new,customer_type,age_group,item_type,class_name,subclass_name,nova,standard_uom,uom_criteria,conversion,price_uom,class_name_uom
107,001_003-61,DL BEEF SAUSAGE PC,61,,40.0,No-Loyalty card,,Food Item,FAST FOODS,PRE-PREPARED BEEF SAUSAGE,Ultra-processed foods,PCS,,,40.0,FAST FOODS (PCS)
108,001_003-65,B/SIDE DAIRY BEST 500ML (FINO),65,,53.0,No-Loyalty card,,Food Item,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods,LTRS,500ML,0.5,106.0,WHOLE MILK (LTRS)
109,001_003-65,WHITE BREAD 600G,65,,59.0,No-Loyalty card,,Food Item,BREADS,WHITE BREAD,Ultra-processed foods,KGS,600G,0.6,98.33333333333334,BREADS (KGS)
110,001_003-66,CLUB SODA ORANGE 1.25L,66,,90.0,No-Loyalty card,,Food Item,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods,LTRS,1.25L,1.25,72.0,SODAS AND CARBONATED DRINKS (LTRS)
111,001_003-66,JOY SUPER BITES MANDAZI 180G,66,,37.0,No-Loyalty card,,Food Item,PASTRIES,PASTRIES - MANDAZI,Ultra-processed foods,KGS,180G,0.18,205.5555555555556,PASTRIES (KGS)
112,001_003-67,INDOMIE CHICKEN NOODLES 5 IN 1,67,,100.0,No-Loyalty card,,Food Item,NOODLES,NOODLES,Ultra-processed foods,KGS,,,100.0,NOODLES (KGS)
113,001_003-67,BROWN BREAD 400G,67,,39.0,No-Loyalty card,,Food Item,BREADS,BROWN BREAD,Ultra-processed foods,KGS,400G,0.4,97.5,BREADS (KGS)
114,001_003-68,MAMA MAIZE 2KG,68,,94.0,No-Loyalty card,,Food Item,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,47.0,MAIZE/CORN FLOUR (KGS)
115,001_003-69,DISNEY S/BERRY YOGHURT 150ML CUP,69,,55.0,No-Loyalty card,,Food Item,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods,LTRS,150ML,0.15,366.6666666666667,FLAVOURED/FRUIT YOGHURT (LTRS)
116,001_003-69,DISNEY VANILLA YOGHURT 150ML CUP,69,,55.0,No-Loyalty card,,Food Item,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods,LTRS,150ML,0.15,366.6666666666667,FLAVOURED/FRUIT YOGHURT (LTRS)
117,001_003-69,SOKO MAIZE MEAL 2KG,69,,100.0,No-Loyalty card,,Food Item,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,50.0,MAIZE/CORN FLOUR (KGS)
118,001_003-69,WEETABIX CORNFLAKES 100G,69,,100.0,No-Loyalty card,,Food Item,BREAKFAST CEREALS,CORN FLAKE CEREALS,Ultra-processed foods,KGS,100G,0.1,1000.0,BREAKFAST CEREALS (KGS)
119,001_003-69,BLUE BAND 250G,69,,100.0,No-Loyalty card,,Food Item,MARGARINE,MARGARINE,Ultra-processed foods,KGS,250G,0.25,400.0,MARGARINE (KGS)
120,001_003-69,ZESTA RED PLUM JAM 200G JAR,69,,53.0,No-Loyalty card,,Food Item,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods,KGS,200G,0.2,265.0,JAM/OTHER SPREADS (KGS)
121,001_003-69,EXECUTIVE TOMATO SAUCE 400G,69,,55.0,No-Loyalty card,,Food Item,TABLE SAUCES,TOMATO SAUCE,Ultra-processed foods,KGS,400G,0.4,137.5,TABLE SAUCES (KGS)
122,001_003-69,INDOMIE SUPA MOJO NOODLES 120G,69,,30.0,No-Loyalty card,,Food Item,NOODLES,NOODLES,Ultra-processed foods,KGS,120G,0.12,250.0,NOODLES (KGS)
123,001_003-69,KABRAS SUGAR 500G WHITE,69,,65.0,No-Loyalty card,,Food Item,SUGAR,WHITE SUGAR,Processed Culinary Ingredients,KGS,500G,0.5,130.0,SUGAR (KGS)
124,001_003-70,DL BEEF SAMOSA PC,70,,100.0,No-Loyalty card,,Food Item,FAST FOODS,PRE-PREPARED BEEF SAMOSA,Ultra-processed foods,PCS,,,40.0,FAST FOODS (PCS)
125,001_003-70,DL HOT DOG PLAIN PC,70,,100.0,No-Loyalty card,,Food Item,FAST FOODS,PRE-PREPARED HOT DOG,Ultra-processed foods,PCS,,,100.0,FAST FOODS (PCS)
126,001_003-71,CADBURY DAIRY FRUIT & NUT 35G/37G,71,,69.0,No-Loyalty card,,Food Item,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,KGS,35G,0.035,1971.428571428572,CHOCOLATE (KGS)
127,001_003-71,CHIGS SALTED CRISPS 50G PLN,71,,45.0,No-Loyalty card,,Food Item,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods,KGS,50G,0.05,900.0,SWEET AND SAVOURY SNACKS (KGS)
128,001_003-71,QUENCHER LIFE WATER 1L,71,,42.0,No-Loyalty card,,Food Item,WATER,MINERAL WATER,Unprocessed/Minimally processed foods,LTRS,1L,1.0,42.0,WATER (LTRS)
129,001_003-72,TOP FRY VEGETABLE OIL 3L,72,,525.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,3L,3.0,175.0,COOKING OIL (LTRS)
130,001_003-73,KINANGOP GOLD TFA 500ML L/LIFE,73,,47.0,No-Loyalty card,,Food Item,WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods,LTRS,500ML,0.5,94.0,WHOLE MILK (LTRS)
131,001_003-73,ORCHID VALLEY APPLE 1 LTR,73,,189.0,No-Loyalty card,,Food Item,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods,LTRS,1 LTR,1.0,189.0,FRESH/FRUIT JUICES - NO ADDED SUGAR (LTRS)
132,001_003-74,PIKA COOKING FAT YELLOW 2KG,74,,300.0,No-Loyalty card,,Food Item,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients,KGS,2KG,2.0,150.0,COOKING FAT (KGS)
133,001_003-74,BLUE BAND 250G,74,,100.0,No-Loyalty card,,Food Item,MARGARINE,MARGARINE,Ultra-processed foods,KGS,250G,0.25,400.0,MARGARINE (KGS)
134,001_003-74,BRAVA MALT COFEE CAPUCINO 300ML,74,,34.0,No-Loyalty card,,Food Item,MALT DRINKS,MALT DRINKS,Processed foods,LTRS,300ML,0.3,113.33333333333334,MALT DRINKS (LTRS)
135,001_003-74,GOLDEN BARREL WHITE 600G,74,,71.0,No-Loyalty card,,Food Item,BREADS,WHITE BREAD,Ultra-processed foods,KGS,600G,0.6,118.33333333333334,BREADS (KGS)
136,001_003-77,QUEEN CAKE 1PC,77,,20.0,No-Loyalty card,,Food Item,CUPCAKES/MUFFINS/QUEENCAKES,CUPCAKES,Ultra-processed foods,PCS,,,20.0,CUPCAKES/MUFFINS/QUEENCAKES (PCS)
137,001_003-79,TUZO YOGHURT VANILLA 500ML TR,79,,102.0,No-Loyalty card,,Food Item,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods,LTRS,500ML,0.5,204.0,FLAVOURED/FRUIT YOGHURT (LTRS)
138,001_003-79,KENSALT TABLE SALT 500G,79,,17.0,No-Loyalty card,,Food Item,SALT,TABLE SALT,Processed Culinary Ingredients,KGS,500G,0.5,34.0,SALT (KGS)
139,001_003-79,KETEPA TEA BAG ECONOMY 50S UNTAGGED,79,,103.0,No-Loyalty card,,Food Item,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods,PACK,,,103.0,TEA (PACK)
140,001_003-79,MB APPLE PINK LADY 4PACK,79,,149.0,No-Loyalty card,,Food Item,FRUITS,APPLES,Unprocessed/Minimally processed foods,PCS,APPLE PINK LADY 4PACK,4.0,37.25,FRUITS (PCS)
141,001_003-81,BONES KITE,81,,151.2,No-Loyalty card,,Food Item,RED MEAT,BEEF BONES,Unprocessed/Minimally processed foods,KGS,,,120.0,RED MEAT (KGS)
142,001_003-82,BLUE BAND SPREAD FOR BREAD 250G,82,,75.0,No-Loyalty card,,Food Item,MARGARINE,MARGARINE,Ultra-processed foods,KGS,250G,0.25,300.0,MARGARINE (KGS)
143,001_003-82,BRAVA MALT COFEE CAPUCINO 300ML,82,,34.0,No-Loyalty card,,Food Item,MALT DRINKS,MALT DRINKS,Processed foods,LTRS,300ML,0.3,113.33333333333334,MALT DRINKS (LTRS)
144,001_003-82,GOLDEN BARREL WHITE 400G,82,,49.0,No-Loyalty card,,Food Item,BREADS,WHITE BREAD,Ultra-processed foods,KGS,400G,0.4,122.5,BREADS (KGS)
145,001_003-82,GOLDEN BARREL WHITE 600G,82,,71.0,No-Loyalty card,,Food Item,BREADS,WHITE BREAD,Ultra-processed foods,KGS,600G,0.6,118.33333333333334,BREADS (KGS)
146,001_003-83,RINA VEGE OIL 3L,83,,502.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,3L,3.0,167.33333333333334,COOKING OIL (LTRS)
147,001_003-83,SNAK IT BIKIS CHEESE 30G,83,,32.0,No-Loyalty card,,Food Item,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods,KGS,30G,0.03,1066.6666666666667,SWEET AND SAVOURY SNACKS (KGS)
148,001_003-83,BROWN BREAD 400G,83,,39.0,No-Loyalty card,,Food Item,BREADS,BROWN BREAD,Ultra-processed foods,KGS,400G,0.4,97.5,BREADS (KGS)
149,001_003-85,COWBOY 500G,85,,95.0,No-Loyalty card,,Food Item,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients,KGS,500G,0.5,190.0,COOKING FAT (KGS)
150,001_003-85,DISNEY S/BERRY YOGHURT 150ML CUP,85,,55.0,No-Loyalty card,,Food Item,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods,LTRS,150ML,0.15,366.6666666666667,FLAVOURED/FRUIT YOGHURT (LTRS)
151,001_003-86,NDOVU HOME BAKING 2KG,86,,114.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,57.0,WHEAT FLOUR (KGS)
152,001_003-86,RICE 2KG LONG GRAIN,86,,225.0,No-Loyalty card,,Food Item,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,KGS,2KG,2.0,112.5,CEREAL GRAINS (KGS)
153,001_003-86,BLUE BAND ORIG 500G,86,,190.0,No-Loyalty card,,Food Item,MARGARINE,MARGARINE,Ultra-processed foods,KGS,500G,0.5,380.0,MARGARINE (KGS)
154,001_003-86,ZESTA RED PLUM JAM 450G PET,86,,112.0,No-Loyalty card,,Food Item,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods,KGS,450G,0.45,248.88888888888889,JAM/OTHER SPREADS (KGS)
155,001_003-86,BRANDED SUGAR 2KG BROWN,86,,210.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,2KG,2.0,105.0,SUGAR (KGS)
156,001_003-86,MARA SUGAR 2KG WHITE,86,,210.0,No-Loyalty card,,Food Item,SUGAR,WHITE SUGAR,Processed Culinary Ingredients,KGS,2KG,2.0,105.0,SUGAR (KGS)
157,001_003-87,DISNEY VANILLA YOGHURT 150ML CUP,87,,55.0,No-Loyalty card,,Food Item,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods,LTRS,150ML,0.15,366.6666666666667,FLAVOURED/FRUIT YOGHURT (LTRS)
158,001_003-87,RIBENA RTD ORIGINAL 1L,87,,199.0,No-Loyalty card,,Food Item,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,LTRS,1L,1.0,199.0,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS (LTRS)
159,001_003-88,PIKA VEG OIL 1L,88,,178.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,1L,1.0,178.0,COOKING OIL (LTRS)
160,001_003-89,DISNEY S/BERRY YOGHURT 150ML CUP,89,,55.0,No-Loyalty card,,Food Item,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods,LTRS,150ML,0.15,366.6666666666667,FLAVOURED/FRUIT YOGHURT (LTRS)
161,001_003-89,DISNEY VANILLA YOGHURT 150ML CUP,89,,55.0,No-Loyalty card,,Food Item,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods,LTRS,150ML,0.15,366.6666666666667,FLAVOURED/FRUIT YOGHURT (LTRS)
162,001_003-90,PIKA VEG OIL 1L,90,,178.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,1L,1.0,178.0,COOKING OIL (LTRS)
163,001_003-90,TWO TEN MAIZE MEAL 2KG,90,,100.0,No-Loyalty card,,Food Item,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,50.0,MAIZE/CORN FLOUR (KGS)
164,001_003-90,BUTALI BROWN SUGAR 1KG PKT,90,,105.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,1KG,1.0,105.0,SUGAR (KGS)
165,001_003-90,SODA COKE 500ML PL,90,,60.0,No-Loyalty card,,Food Item,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods,LTRS,500ML,0.5,120.0,SODAS AND CARBONATED DRINKS (LTRS)
166,001_003-90,SODA SPRITE 500ML PL,90,,60.0,No-Loyalty card,,Food Item,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods,LTRS,500ML,0.5,120.0,SODAS AND CARBONATED DRINKS (LTRS)
167,001_003-90,SODA FANTA B/CURRANT 500ML PL,90,,60.0,No-Loyalty card,,Food Item,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods,LTRS,500ML,0.5,120.0,SODAS AND CARBONATED DRINKS (LTRS)
168,001_003-90,ML FUDGEVILLE DRINKING CHOC 100G PL JAR,90,,89.0,No-Loyalty card,,Food Item,COCOA,COCOA - UNSWEETENED WITHOUT MILK,Ultra-processed foods,KGS,100G,0.1,890.0,COCOA (KGS)
169,001_003-90,BRISKETS KITE,90,,201.6,No-Loyalty card,,Food Item,RED MEAT,BEEF,Unprocessed/Minimally processed foods,KGS,,,480.0,RED MEAT (KGS)
170,001_003-91,PIKA VEG OIL 2L,91,,345.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,2L,2.0,172.5,COOKING OIL (LTRS)
171,001_003-92,BRANDED SUGAR 2KG BROWN,92,,210.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,2KG,2.0,105.0,SUGAR (KGS)
172,001_003-92,SAVANAH PUNCH 2L,92,,250.0,No-Loyalty card,,Food Item,DILUTING JUICE,SQUASHES,Ultra-processed foods,LTRS,2L,2.0,125.0,DILUTING JUICE (LTRS)
173,001_003-92,BAZUU ENERGY DRINK 265ML PL BTL,92,,40.0,No-Loyalty card,,Food Item,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,LTRS,265ML,0.265,150.94339622641508,ENERGY DRINKS (LTRS)
174,001_003-92,POWER-ADE MT. BERRY BLAST 400ML PL BTL,92,,99.0,No-Loyalty card,,Food Item,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,LTRS,400ML,0.4,247.5,ENERGY DRINKS (LTRS)
175,001_003-92,EDEN T/BAG ENV. 25X2G (50G) TANGAWIZI,92,,69.0,No-Loyalty card,,Food Item,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods,KGS,50G,0.05,1380.0,TEA (KGS)
176,001_003-92,DL BEEF SMOKIE PC,92,,30.0,No-Loyalty card,,Food Item,FAST FOODS,PRE-PREPARED BEEF SMOKIE,Ultra-processed foods,PCS,,,30.0,FAST FOODS (PCS)
177,001_003-92,DL BEEF SAMOSA PC,92,,50.0,No-Loyalty card,,Food Item,FAST FOODS,PRE-PREPARED BEEF SAMOSA,Ultra-processed foods,PCS,,,40.0,FAST FOODS (PCS)
178,001_003-94,PARBOILED RICE 1KG,94,,129.0,No-Loyalty card,,Food Item,CEREAL GRAINS,PARBOILED RICE,Unprocessed/Minimally processed foods,KGS,1KG,1.0,129.0,CEREAL GRAINS (KGS)
179,001_003-94,TIFFANY WAFER ORANGE CREAM 76G,94,,105.0,No-Loyalty card,,Food Item,"COOKIES, BISCUITS AND WAFERS",WAFERS,Ultra-processed foods,KGS,76G,0.075,1400.0,"COOKIES, BISCUITS AND WAFERS (KGS)"
180,001_003-94,TIFFANY CREAM WAFERS VANILLA 76G,94,,105.0,No-Loyalty card,,Food Item,"COOKIES, BISCUITS AND WAFERS",WAFERS,Ultra-processed foods,KGS,76G,0.075,1400.0,"COOKIES, BISCUITS AND WAFERS (KGS)"
181,001_003-94,INDO MIE JUMBO CHICKEN FLAVOUR 120G,94,,30.0,No-Loyalty card,,Food Item,NOODLES,NOODLES,Ultra-processed foods,KGS,120G,0.12,250.0,NOODLES (KGS)
182,001_003-94,MB APPLE PINK LADY 4PACK,94,,149.0,No-Loyalty card,,Food Item,FRUITS,APPLES,Unprocessed/Minimally processed foods,PCS,APPLE PINK LADY 4PACK,4.0,37.25,FRUITS (PCS)
183,001_003-94,T BONE KITE,94,,272.5,No-Loyalty card,,Food Item,RED MEAT,BEEF,Unprocessed/Minimally processed foods,KGS,,,545.0,RED MEAT (KGS)
184,001_003-95,PIKA VEG OIL 1L,95,,178.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,1L,1.0,178.0,COOKING OIL (LTRS)
185,001_003-97,FRESHA VAN YOGHURT 1L BTL,97,,165.0,No-Loyalty card,,Food Item,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods,LTRS,1L,1.0,165.0,FLAVOURED/FRUIT YOGHURT (LTRS)
186,001_003-97,AJAB HOME BAKING 2KG,97,,121.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,60.5,WHEAT FLOUR (KGS)
187,001_003-97,PARBOILED RICE 2KG,97,,255.0,No-Loyalty card,,Food Item,CEREAL GRAINS,PARBOILED RICE,Unprocessed/Minimally processed foods,KGS,2KG,2.0,127.5,CEREAL GRAINS (KGS)
188,001_003-97,WEETABIX STANDARD 225G/210G,97,,175.0,No-Loyalty card,,Food Item,BREAKFAST CEREALS,WHEAT BISCUIT CEREALS,Ultra-processed foods,KGS,225G,0.225,777.7777777777777,BREAKFAST CEREALS (KGS)
189,001_003-97,PEANUT/B 250G NUTEEZ CHOCOLATE NUT,97,,185.0,No-Loyalty card,,Food Item,PEANUT BUTTER,PEANUT BUTTER,Ultra-processed foods,KGS,250G,0.25,740.0,PEANUT BUTTER (KGS)
190,001_003-97,PEPTANG RED PLUM JAM 500G PET,97,,165.0,No-Loyalty card,,Food Item,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods,KGS,500G,0.5,330.0,JAM/OTHER SPREADS (KGS)
191,001_003-97,KENSALT TABLE SALT 1KG,97,,32.0,No-Loyalty card,,Food Item,SALT,TABLE SALT,Processed Culinary Ingredients,KGS,1KG,1.0,32.0,SALT (KGS)
192,001_003-97,BRANDED SUGAR 2KG BROWN,97,,210.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,2KG,2.0,105.0,SUGAR (KGS)
193,001_003-97,CHIGS SALTED CRISPS 100G PLN,97,,79.0,No-Loyalty card,,Food Item,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods,KGS,100G,0.1,790.0,SWEET AND SAVOURY SNACKS (KGS)
194,001_003-97,PICK & PEEL MANGO 1L,97,,195.0,No-Loyalty card,,Food Item,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods,LTRS,1L,1.0,195.0,FRESH/FRUIT JUICES - NO ADDED SUGAR (LTRS)
195,001_003-97,SODA FANTA BLACKCURRANT 2L PL,97,,180.0,No-Loyalty card,,Food Item,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods,LTRS,2L,2.0,90.0,SODAS AND CARBONATED DRINKS (LTRS)
196,001_003-97,AJAB MANDAZI FLOUR 2KG,97,,118.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,59.0,WHEAT FLOUR (KGS)
197,001_003-98,QUEEN CAKE 1PC,98,,20.0,No-Loyalty card,,Food Item,CUPCAKES/MUFFINS/QUEENCAKES,CUPCAKES,Ultra-processed foods,PCS,,,20.0,CUPCAKES/MUFFINS/QUEENCAKES (PCS)
198,001_003-99,BUTALI BROWN SUGAR 1KG PKT,99,,105.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,1KG,1.0,105.0,SUGAR (KGS)
199,001_003-100,PIKA VEG OIL 500ML,100,,102.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,500ML,0.5,204.0,COOKING OIL (LTRS)
200,001_003-101,DELICIOUS DELIGHT MANDAZI 200GM,101,,29.0,No-Loyalty card,,Food Item,PASTRIES,PASTRIES - MANDAZI,Ultra-processed foods,KGS,200GM,0.2,145.0,PASTRIES (KGS)
201,001_003-103,DELICIOUS DELIGHT MANDAZI 200GM,103,,29.0,No-Loyalty card,,Food Item,PASTRIES,PASTRIES - MANDAZI,Ultra-processed foods,KGS,200GM,0.2,145.0,PASTRIES (KGS)
202,001_003-104,FRESH FRI 1L,104,,177.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,1L,1.0,177.0,COOKING OIL (LTRS)
203,001_003-104,AJAB HOME BAKING 2KG,104,,121.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,60.5,WHEAT FLOUR (KGS)
204,001_003-104,RANEE STANDARD SPAGHETTI 400G,104,,45.0,No-Loyalty card,,Food Item,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods,KGS,400G,0.4,112.5,PASTAS (KGS)
205,001_003-104,KENSALT TABLE SALT 1KG,104,,32.0,No-Loyalty card,,Food Item,SALT,TABLE SALT,Processed Culinary Ingredients,KGS,1KG,1.0,32.0,SALT (KGS)
206,001_003-104,DELICIOUS DELIGHT MANDAZI 200GM,104,,29.0,No-Loyalty card,,Food Item,PASTRIES,PASTRIES - MANDAZI,Ultra-processed foods,KGS,200GM,0.2,145.0,PASTRIES (KGS)
207,001_003-104,WHITE BREAD 400G.,104,,39.0,No-Loyalty card,,Food Item,BREADS,WHITE BREAD,Ultra-processed foods,KGS,400G,0.4,97.5,BREADS (KGS)
208,001_003-105,CREAM MARBLE SLICE 200G,105,,100.0,No-Loyalty card,,Food Item,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods,KGS,200G,0.2,500.0,MARBLE CAKES (KGS)
209,001_003-106,PIKA VEG OIL 3TR,106,,485.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,OIL 3TR,3.0,161.66666666666666,COOKING OIL (LTRS)
210,001_003-106,SPAGHETTI DAAWAT BLUE LABEL B2G1 400G,106,,234.0,No-Loyalty card,,Food Item,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods,KGS,400G,0.4,585.0,PASTAS (KGS)
211,001_003-106,BASMATI RICE 2KG,106,,275.0,No-Loyalty card,,Food Item,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,KGS,2KG,2.0,137.5,CEREAL GRAINS (KGS)
212,001_003-106,BRANDED SUGAR 2KG BROWN,106,,210.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,2KG,2.0,105.0,SUGAR (KGS)
213,001_003-107,JOGOO MAIZE MEAL 2KG,107,,110.0,No-Loyalty card,,Food Item,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,55.0,MAIZE/CORN FLOUR (KGS)
214,001_003-107,KENSALT TABLE SALT 500G,107,,17.0,No-Loyalty card,,Food Item,SALT,TABLE SALT,Processed Culinary Ingredients,KGS,500G,0.5,34.0,SALT (KGS)
215,001_003-108,PEARL PISHORI RICE 2KG,108,,467.0,No-Loyalty card,,Food Item,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,KGS,2KG,2.0,233.5,CEREAL GRAINS (KGS)
216,001_003-108,BRANDED SUGAR 2KG BROWN,108,,210.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,2KG,2.0,105.0,SUGAR (KGS)
217,001_003-109,BRANDED SUGAR 2KG BROWN,109,,210.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,2KG,2.0,105.0,SUGAR (KGS)
218,001_003-111,COSMO MAIZE 2KG,111,,98.0,No-Loyalty card,,Food Item,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,49.0,MAIZE/CORN FLOUR (KGS)
219,001_003-111,KARIBU ALL PURPOSE 2KG,111,,105.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,52.5,WHEAT FLOUR (KGS)
220,001_003-111,BRANDED SUGAR 1KG BROWN,111,,110.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,1KG,1.0,110.0,SUGAR (KGS)
221,001_003-112,CRIBAZ SALTED CRISPS 50G/45G NORDA,112,,40.0,No-Loyalty card,,Food Item,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods,KGS,50G,0.05,800.0,SWEET AND SAVOURY SNACKS (KGS)
222,001_003-113,PIKA VEG OIL 1L,113,,178.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,1L,1.0,178.0,COOKING OIL (LTRS)
223,001_003-113,H.O.MANJI SO NICE 100G,113,,28.0,No-Loyalty card,,Food Item,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,KGS,100G,0.1,280.0,"COOKIES, BISCUITS AND WAFERS (KGS)"
224,001_003-113,INDO MIE JUMBO CHICKEN FLAVOUR 120G,113,,30.0,No-Loyalty card,,Food Item,NOODLES,NOODLES,Ultra-processed foods,KGS,120G,0.12,250.0,NOODLES (KGS)
225,001_003-113,KUDOS TOMATO KETCHUP 20G,113,,11.0,No-Loyalty card,,Food Item,TABLE SAUCES,TOMATO KETCHUP,Ultra-processed foods,KGS,20G,0.02,550.0,TABLE SAUCES (KGS)
226,001_003-113,FRUITVILLE TROPICAL RTD 500ML,113,,60.0,No-Loyalty card,,Food Item,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,LTRS,500ML,0.5,120.0,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS (LTRS)
