Unnamed: 0,transaction_id,description,trnref,dob_new,price_new,customer_type,age_group,item_type,class_name,subclass_name,nova,standard_uom,uom_criteria,conversion,price_uom,class_name_uom
25,001_003-21,RICE 2KG LONG GRAIN,21,,225.0,No-Loyalty card,,Food Item,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,KGS,2KG,2.0,112.5,CEREAL GRAINS (KGS)
26,001_003-21,BRANDED SUGAR 1KG BROWN,21,,110.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,1KG,1.0,110.0,SUGAR (KGS)
27,001_003-21,CHIGS SALTED CRISPS 50G PLN,21,,45.0,No-Loyalty card,,Food Item,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods,KGS,50G,0.05,900.0,SWEET AND SAVOURY SNACKS (KGS)
28,001_003-21,KETEPA FAHARI YA KENYA 100G,21,,45.0,No-Loyalty card,,Food Item,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods,KGS,100G,0.1,450.0,TEA (KGS)
29,001_003-23,CHIGS SALT VINEGAR CRISPS 100G,23,,95.0,No-Loyalty card,,Food Item,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods,KGS,100G,0.1,950.0,SWEET AND SAVOURY SNACKS (KGS)
30,001_003-25,YOGHURT FRESHA VANILLA 500ML CUP,25,,89.0,No-Loyalty card,,Food Item,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods,LTRS,500ML,0.5,178.0,FLAVOURED/FRUIT YOGHURT (LTRS)
31,001_003-25,SOKO MAIZEMEAL 5KG,25,,251.0,No-Loyalty card,,Food Item,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods,KGS,5KG,5.0,50.2,MAIZE/CORN FLOUR (KGS)
32,001_003-25,JOGOO 5KG,25,,270.0,No-Loyalty card,,Food Item,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods,KGS,5KG,5.0,54.0,MAIZE/CORN FLOUR (KGS)
33,001_003-25,SOKO HOME BAKING 2KG,25,,116.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,58.0,WHEAT FLOUR (KGS)
34,001_003-25,PEARL SUPER BASMATI RICE 2KG,25,,467.0,No-Loyalty card,,Food Item,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods,KGS,2KG,2.0,233.5,CEREAL GRAINS (KGS)
35,001_003-27,AFIA JUICE MULTI VITAMIN 1.5LTR PET,27,,160.0,No-Loyalty card,,Food Item,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,LTRS,1.5LTR,1.5,106.66666666666669,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS (LTRS)
36,001_003-27,PREDATOR ENERGY DRINK 400ML,27,,50.0,No-Loyalty card,,Food Item,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,LTRS,400ML,0.4,125.0,ENERGY DRINKS (LTRS)
37,001_003-27,WHITE BREAD 600G,27,,59.0,No-Loyalty card,,Food Item,BREADS,WHITE BREAD,Ultra-processed foods,KGS,600G,0.6,98.33333333333334,BREADS (KGS)
38,001_003-27,BEEF MINCED HUBERS (LEAL) KITE,27,,149.5,No-Loyalty card,,Food Item,RED MEAT,BEEF MINCE,Unprocessed/Minimally processed foods,KGS,,,650.0,RED MEAT (KGS)
